\$1N14254\  \R405\-\1\ \IC33\-\AP5\ 
\DDR3_64_DQ58\  \IC33\-\AM34\ 
\DDR3_64_DQ59\  \IC33\-\AP31\ 
\DDR3_64_DQ6\  \IC33\-\AG22\ 
\DDR3_64_DQ60\  \IC33\-\AM32\ 
\DDR3_64_DQ61\  \IC33\-\AN31\ 
\DDR3_64_DQ62\  \IC33\-\AL34\ 
\DDR3_64_DQ63\  \IC33\-\AN32\ 
\DDR3_64_DQ7\  \IC33\-\AE20\ 
\DDR3_64_DQ8\  \IC33\-\AJ24\ 
\DDR3_64_DQ9\  \IC33\-\AG24\ 
\DDR3_64_DQS0_N\  \IC33\-\AH21\ 
\DDR3_64_DQS0_P\  \IC33\-\AG21\ 
\DDR3_64_DQS1_N\  \IC33\-\AJ25\ 
\DDR3_64_DQS1_P\  \IC33\-\AH24\ 
\DDR3_64_DQS2_N\  \IC33\-\AK20\ 
\DDR3_64_DQS2_P\  \IC33\-\AJ20\ 
\DDR3_64_DQS3_N\  \IC33\-\AP21\ 
\DDR3_64_DQS3_P\  \IC33\-\AP20\ 
\DDR3_64_DQS4_N\  \IC33\-\AL28\ 
\DDR3_64_DQS4_P\  \IC33\-\AL27\ 
\DDR3_64_DQS5_N\  \IC33\-\AP30\ 
\DDR3_64_DQS5_P\  \IC33\-\AN29\ 
\DDR3_64_DQS6_N\  \IC33\-\AJ33\ 
\DDR3_64_DQS6_P\  \IC33\-\AH33\ 
\DDR3_64_DQS7_N\  \IC33\-\AP34\ 
\DDR3_64_DQS7_P\  \IC33\-\AN34\ 
\DDR3_64_ODT\  \IC33\-\AJ18\ 
\DDR3_64_RAS_N\  \IC33\-\AH19\ 
\DDR3_64_RST_N\  \IC33\-\AJ14\ 
\DDR3_64_VREF\  \C172\-\1\ \IC33\-\AF19\ \IC33\-\AD23\ \IC33\-\AG27\ \C171\-\1\ \C170\-\1\ 
\DDR3_64_WE_N\  \IC33\-\AG19\ 
\DXN\  \IC33\-\Y11\ 
\DXP\  \IC33\-\Y12\ 
\EN_FLASH_UPDATE\  \IC27\-\12\ \IC27\-\5\ \IC27\-\13\ \IC27\-\6\ \R171\-\2\ 
\FLASH_UPD_CLK\  \IC27\-\2\ 
\FLASH_UPD_CSB\  \IC27\-\10\ 
\FLASH_UPD_MISO\  \IC27\-\3\ 
\FLASH_UPD_MOSI\  \IC27\-\9\ 
\FMC1_CLK0_M2C_N\  \IC33\-\F9\ 
\FMC1_CLK0_M2C_P\  \IC33\-\G9\ 
\FMC1_CLK1_M2C_N\  \IC33\-\G12\ 
\FMC1_CLK1_M2C_P\  \IC33\-\H12\ 
\FMC1_DP0_C2M_N\  \IC33\-\N3\ 
\FMC1_DP0_C2M_P\  \IC33\-\N4\ 
\FMC1_DP0_M2C_N\  \IC33\-\M1\ 
\FMC1_DP0_M2C_P\  \IC33\-\M2\ 
\FMC1_DP1_C2M_N\  \IC33\-\L3\ 
\FMC1_DP1_C2M_P\  \IC33\-\L4\ 
\FMC1_DP1_M2C_N\  \IC33\-\K1\ 
\FMC1_DP1_M2C_P\  \IC33\-\K2\ 
\FMC1_DP2_C2M_N\  \IC33\-\J3\ 
\FMC1_DP2_C2M_P\  \IC33\-\J4\ 
\FMC1_DP2_M2C_N\  \IC33\-\H1\ 
\FMC1_DP2_M2C_P\  \IC33\-\H2\ 
\FMC1_DP3_C2M_N\  \IC33\-\G3\ 
\FMC1_DP3_C2M_P\  \IC33\-\G4\ 
\FMC1_DP3_M2C_N\  \IC33\-\F1\ 
\FMC1_DP3_M2C_P\  \IC33\-\F2\ 
\FMC1_DP4_C2M_C_N\  \$7I10462\-\1\ \IC33\-\B5\ \$7I10791\-\1\ 
\FMC1_DP4_C2M_C_P\  \$7I10463\-\1\ \IC33\-\B6\ \$7I10767\-\1\ 
\FMC1_DP4_C2M_N\  \$7I10791\-\2\ 
\FMC1_DP4_C2M_P\  \$7I10767\-\2\ 
\FMC1_DP4_M2C_C_N\  \IC33\-\A3\ \$7I10464\-\1\ \$7I10743\-\1\ 
\FMC1_DP4_M2C_C_P\  \IC33\-\A4\ \$7I10465\-\1\ \$7I10719\-\1\ 
\FMC1_DP4_M2C_N\  \$7I10743\-\2\ 
\FMC1_DP4_M2C_P\  \$7I10719\-\2\ 
\FMC1_GBTCLK0_M2C_N\  \IC33\-\M5\ 
\FMC1_GBTCLK0_M2C_P\  \IC33\-\M6\ 
\FMC1_GBTCLK1_M2C_N\  \IC33\-\H5\ 
\FMC1_GBTCLK1_M2C_P\  \IC33\-\H6\ 
\FMC1_LA00_CC_N\  \IC33\-\F17\ 
\FMC1_LA00_CC_P\  \IC33\-\F18\ 
\FMC1_LA01_CC_N\  \IC33\-\D16\ 
\FMC1_LA01_CC_P\  \IC33\-\E16\ 
\FMC1_LA02_N\  \IC33\-\C14\ 
\FMC1_LA02_P\  \IC33\-\D14\ 
\FMC1_LA03_N\  \IC33\-\F14\ 
\FMC1_LA03_P\  \IC33\-\F15\ 
\FMC1_LA04_N\  \IC33\-\A15\ 
\FMC1_LA04_P\  \IC33\-\B15\ 
\FMC1_LA05_N\  \IC33\-\B16\ 
\FMC1_LA05_P\  \IC33\-\B17\ 
\FMC1_LA06_N\  \IC33\-\D15\ 
\FMC1_LA06_P\  \IC33\-\E15\ 
\FMC1_LA07_N\  \IC33\-\J16\ 
\FMC1_LA07_P\  \IC33\-\K16\ 
\FMC1_LA08_N\  \IC33\-\G14\ 
\FMC1_LA08_P\  \IC33\-\G15\ 
\FMC1_LA09_N\  \IC33\-\H16\ 
\FMC1_LA09_P\  \IC33\-\H17\ 
\FMC1_LA10_N\  \IC33\-\C17\ 
\FMC1_LA10_P\  \IC33\-\C18\ 
\FMC1_LA11_N\  \IC33\-\J18\ 
\FMC1_LA11_P\  \IC33\-\J19\ 
\FMC1_LA12_N\  \IC33\-\D18\ 
\FMC1_LA12_P\  \IC33\-\D19\ 
\FMC1_LA13_N\  \IC33\-\H18\ 
\FMC1_LA13_P\  \IC33\-\H19\ 
\FMC1_LA14_N\  \IC33\-\B19\ 
\FMC1_LA14_P\  \IC33\-\C19\ 
\FMC1_LA15_N\  \IC33\-\F19\ 
\FMC1_LA15_P\  \IC33\-\G19\ 
\FMC1_LA16_N\  \IC33\-\L18\ 
\FMC1_LA16_P\  \IC33\-\L19\ 
\FMC1_LA17_CC_N\  \IC33\-\G11\ 
\FMC1_LA17_CC_P\  \IC33\-\H11\ 
\FMC1_LA18_CC_N\  \IC33\-\F10\ 
\FMC1_LA18_CC_P\  \IC33\-\G10\ 
\FMC1_LA19_N\  \IC33\-\A12\ 
\FMC1_LA19_P\  \IC33\-\A13\ 
\FMC1_LA20_N\  \IC33\-\E13\ 
\FMC1_LA20_P\  \IC33\-\F13\ 
\FMC1_LA21_N\  \IC33\-\B12\ 
\FMC1_LA21_P\  \IC33\-\C12\ 
\FMC1_LA22_N\  \IC33\-\A9\ 
\FMC1_LA22_P\  \IC33\-\B9\ 
\FMC1_LA23_N\  \IC33\-\A10\ 
\FMC1_LA23_P\  \IC33\-\B10\ 
\FMC1_LA24_N\  \IC33\-\D10\ 
\FMC1_LA24_P\  \IC33\-\E10\ 
\FMC1_LA25_N\  \IC33\-\D11\ 
\FMC1_LA25_P\  \IC33\-\E11\ 
\FMC1_LA26_N\  \IC33\-\H13\ 
\FMC1_LA26_P\  \IC33\-\J13\ 
\FMC1_LA27_N\  \IC33\-\C13\ 
\FMC1_LA27_P\  \IC33\-\D13\ 
\FMC1_LA28_N\  \IC33\-\B11\ 
\FMC1_LA28_P\  \IC33\-\C11\ 
\FMC1_LA29_N\  \IC33\-\C8\ 
\FMC1_LA29_P\  \IC33\-\D8\ 
\FMC1_LA30_N\  \IC33\-\J10\ 
\FMC1_LA30_P\  \IC33\-\K10\ 
\FMC1_LA31_N\  \IC33\-\J11\ 
\FMC1_LA31_P\  \IC33\-\K11\ 
\FMC1_LA32_N\  \IC33\-\E8\ 
\FMC1_LA32_P\  \IC33\-\F8\ 
\FMC1_LA33_N\  \IC33\-\C9\ 
\FMC1_LA33_P\  \IC33\-\D9\ 
\FMC1_VREF_A_M2C\  \C175\-\1\ \C169\-\1\ \IC33\-\V24\ \IC33\-\AA30\ 
\FPGA_CCLK\  \IC3\-\16\ \IC2\-\16\ \IC33\-\AA9\ \IC27\-\1\ \$1I18655\-\2\ 
\FPGA_DONE\  \IC33\-\N7\ \R165\-\1\ \R173\-\1\ 
\FPGA_I2C_SCL\  \IC33\-\N21\ 
\FPGA_I2C_SDA\  \IC33\-\M21\ 
\FPGA_INIT_B\  \R164\-\1\ \IC33\-\V7\ \R174\-\1\ 
\FPGA_M0\  \IC33\-\K7\ \SW1\-\1\ \R183\-\1\ \R176\-\2\ 
\FPGA_M1\  \IC33\-\L7\ \SW1\-\2\ \R182\-\1\ \R179\-\2\ 
\FPGA_M2\  \IC33\-\M7\ \SW1\-\3\ \R180\-\2\ \R181\-\1\ 
\FPGA_PROG_B\  \IC33\-\T7\ \R172\-\1\ 
\FPGA_RESETn\  \IC33\-\AJ11\ 
\FPGA_STATUS\  \IC33\-\K21\ 
\FPGA_TCK\  \IC33\-\AC9\ 
\FPGA_TDI\  \IC33\-\V9\ 
\FPGA_TDO\  \IC33\-\U9\ 
\FPGA_TMS\  \IC33\-\W9\ 
\FPGA_VBATT\  \IC33\-\AD7\ \C263\-\2\ 
\GND\  \C168\-\1\ \IC33\-\AD12\ \IC33\-\AE2\ \IC33\-\AJ5\ \IC3\-\10\ \IC33\-\V3\ 
*  \IC33\-\G28\ \C464\-\1\ \IC33\-\A31\ \IC33\-\K24\ \IC33\-\J28\ \IC33\-\N15\ 
*  \R168\-\1\ \IC2\-\10\ \C152\-\1\ \J19\-\2\ \IC33\-\Y20\ \IC33\-\AK24\ 
*  \IC33\-\J5\ \IC33\-\M30\ \C169\-\2\ \IC33\-\T26\ \IC33\-\E32\ \J17\-\2\ 
*  \IC33\-\U15\ \IC33\-\W13\ \IC33\-\E30\ \IC33\-\H29\ \C521\-\2\ \IC33\-\AB14\ 
*  \C482\-\1\ \IC33\-\AK4\ \R166\-\1\ \C399\-\1\ \IC33\-\AC13\ \IC33\-\D22\ 
*  \IC33\-\P14\ \C381\-\1\ \C420\-\1\ \IC33\-\G13\ \C170\-\2\ \IC33\-\AL31\ 
*  \IC33\-\W1\ \IC33\-\B4\ \C368\-\1\ \J17\-\2/2\ \J18\-\2/2\ \IC33\-\AH7\ 
*  \IC33\-\P33\ \IC33\-\D30\ \IC33\-\AG1\ \IC33\-\P30\ \IC33\-\B28\ \IC33\-\G1\ 
*  \C172\-\2\ \IC33\-\AB28\ \IC33\-\T4\ \IC33\-\AL11\ \IC33\-\A21\ \IC33\-\C5\ 
*  \C175\-\2\ \IC33\-\L32\ \IC33\-\AD32\ \IC33\-\B3\ \C165\-\1\ \IC33\-\T33\ 
*  \IC33\-\AA17\ \C496\-\1\ \IC33\-\G31\ \R253\-\1\ \C404\-\1\ \IC33\-\T30\ 
*  \IC33\-\W17\ \IC33\-\E31\ \IC33\-\K29\ \IC33\-\AA13\ \IC33\-\AJ27\ \IC33\-\M18\ 
*  \C422\-\1\ \IC33\-\F30\ \IC33\-\AG7\ \IC33\-\AN2\ \IC33\-\H7\ \IC33\-\C31\ 
*  \IC33\-\H30\ \C174\-\1\ \IC33\-\J32\ \IC33\-\AG13\ \IC33\-\V11\ \IC33\-\Y16\ 
*  \IC33\-\AA19\ \IC33\-\AC5\ \IC33\-\AN1\ \C424\-\1\ \IC33\-\AN7\ \IC33\-\B8\ 
*  \C394\-\1\ \R188\-\1\ \IC33\-\U2\ \IC33\-\D4\ \IC33\-\U19\ \C396\-\1\ 
*  \C171\-\2\ \IC33\-\V8\ \IC33\-\AK34\ \IC33\-\AN15\ \IC33\-\N32\ \IC33\-\A2\ 
*  \J16\-\2\ \C212\-\1\ \IC33\-\AP12\ \IC33\-\B7\ \IC33\-\D34\ \R212\-\1\ 
*  \IC33\-\D33\ \C485\-\1\ \IC33\-\V18\ \IC33\-\F16\ \IC33\-\A11\ \IC33\-\J31\ 
*  \IC33\-\AH30\ \IC33\-\N9\ \C474\-\1\ \IC33\-\AL1\ \IC33\-\R17\ \IC33\-\R28\ 
*  \R187\-\1\ \IC33\-\Y14\ \IC33\-\AB10\ \IC33\-\B30\ \IC33\-\AJ1\ \R213\-\1\ 
*  \C195\-\2\ \J19\-\2/2\ \C154\-\1\ \R218\-\1\ \IC33\-\AB4\ \C155\-\1\ 
*  \IC33\-\AG23\ \IC33\-\R15\ \R256\-\1\ \IC33\-\F3\ \IC33\-\N31\ \IC33\-\A1\ 
*  \IC33\-\AP3\ \J16\-\2/2\ \IC33\-\K30\ \C403\-\1\ \IC33\-\W27\ \C160\-\1\ 
*  \IC33\-\AJ2\ \IC33\-\E29\ \R189\-\1\ \IC33\-\F33\ \J18\-\2\ \IC33\-\K33\ 
*  \IC33\-\E7\ \IC33\-\AF26\ \C466\-\1\ \IC33\-\AN25\ \IC33\-\A6\ \C387\-\1\ 
*  \IC33\-\P29\ \IC33\-\AC25\ \C491\-\1\ \IC33\-\W15\ \IC33\-\G5\ \IC33\-\AA2\ 
*  \IC33\-\AF4\ \IC33\-\U11\ \IC33\-\G23\ \IC33\-\C32\ \C522\-\2\ \IC33\-\AC11\ 
*  \IC33\-\G32\ \IC33\-\V30\ \IC33\-\A30\ \IC33\-\K3\ \C377\-\1\ \IC33\-\H33\ 
*  \IC33\-\AB16\ \IC33\-\T29\ \IC33\-\AB18\ \IC33\-\E2\ \IC33\-\R32\ \C415\-\1\ 
*  \IC33\-\AE7\ \IC33\-\AK7\ \IC33\-\M29\ \IC33\-\U13\ \IC33\-\V4\ \IC33\-\U30\ 
*  \IC33\-\W5\ \IC33\-\AA1\ \IC33\-\F26\ \IC33\-\AL7\ \C262\-\1\ \IC33\-\AP4\ 
*  \IC33\-\D7\ \IC33\-\J17\ \C263\-\1\ \IC33\-\T34\ \IC33\-\N25\ \R197\-\1\ 
*  \IC33\-\Y8\ \IC33\-\B34\ \IC33\-\C25\ \IC33\-\C30\ \IC33\-\H4\ \IC33\-\T20\ 
*  \IC33\-\P10\ \IC33\-\T28\ \IC33\-\M4\ \IC33\-\V20\ \IC33\-\AH10\ \C161\-\1\ 
*  \C529\-\1\ \IC33\-\Y4\ \IC33\-\U1\ \IC33\-\C15\ \IC33\-\G7\ \IC33\-\H10\ 
*  \R192\-\1\ \IC33\-\U5\ \IC33\-\AP7\ \IC33\-\A32\ \IC33\-\P16\ \IC33\-\K4\ 
*  \OSC2\-\3\ \IC33\-\K28\ \IC33\-\U17\ \IC33\-\Y34\ \IC33\-\U23\ \IC33\-\AA11\ 
*  \IC33\-\AG33\ \IC33\-\A7\ \IC33\-\E1\ \IC33\-\U31\ \IC33\-\AB12\ \IC33\-\AD22\ 
*  \IC33\-\AH20\ \IC33\-\U32\ \IC33\-\AP22\ \IC33\-\AC1\ \IC33\-\AH4\ \IC33\-\U33\ 
*  \IC33\-\AA5\ \IC33\-\Y24\ \C148\-\1\ \IC33\-\A5\ \IC33\-\K14\ \IC33\-\L5\ 
*  \C384\-\1\ \C470\-\1\ \C472\-\1\ \IC33\-\V10\ \IC33\-\Y10\ \IC33\-\AK3\ 
*  \IC33\-\N2\ \IC33\-\N13\ \IC33\-\AM28\ \IC33\-\F29\ \IC33\-\M16\ \IC33\-\V14\ 
*  \IC33\-\AE19\ \IC33\-\F28\ \IC33\-\V16\ \IC33\-\P8\ \IC33\-\AA21\ \C467\-\1\ 
*  \C473\-\1\ \IC33\-\AE1\ \IC33\-\E9\ \IC33\-\AB8\ \IC33\-\AC17\ \IC33\-\AF7\ 
*  \IC33\-\B33\ \IC33\-\AF16\ \IC33\-\W19\ \IC33\-\T18\ \IC33\-\AG5\ \IC33\-\AK14\ 
*  \C494\-\1\ \C429\-\1\ \IC33\-\AM18\ \IC33\-\J27\ \C417\-\1\ \IC33\-\Y18\ 
*  \IC33\-\AM4\ \IC33\-\E19\ \IC33\-\AM7\ \IC33\-\J1\ \C523\-\2\ \IC33\-\AA15\ 
*  \IC33\-\AJ7\ \IC33\-\AC15\ \IC33\-\AA31\ \IC33\-\AE29\ \C525\-\2\ \IC33\-\AJ17\ 
*  \IC33\-\H34\ \IC33\-\AN5\ \IC33\-\F34\ \IC33\-\E5\ \IC33\-\AB3\ \IC33\-\AF3\ 
*  \IC33\-\AC19\ \IC33\-\M10\ \IC33\-\B18\ \IC33\-\J7\ \C147\-\1\ \IC33\-\H28\ 
*  \C395\-\1\ \IC33\-\AD4\ \IC33\-\H20\ \R191\-\1\ \IC33\-\AE5\ \C367\-\1\ 
*  \IC33\-\F4\ \C524\-\2\ \IC33\-\AE9\ \IC33\-\AL5\ \IC33\-\AL21\ \IC33\-\C1\ 
*  \IC33\-\AM8\ \IC33\-\F7\ \C150\-\1\ \C177\-\2\ \IC33\-\AP32\ \C162\-\1\ 
*  \IC33\-\C7\ \IC33\-\J2\ \$1I18656\-\1\ \IC33\-\D12\ \IC33\-\T14\ \IC33\-\K34\ 
*  \IC33\-\L28\ \IC33\-\L1\ \C153\-\1\ \IC33\-\L11\ \IC33\-\T12\ \IC33\-\L21\ 
*  \IC33\-\L31\ \IC33\-\M8\ \J20\-\2/2\ \IC33\-\M12\ \C483\-\1\ \IC33\-\M14\ 
*  \IC33\-\N1\ \IC33\-\M28\ \IC33\-\M33\ \IC33\-\M34\ \C471\-\1\ \IC33\-\N5\ 
*  \IC33\-\N11\ \C419\-\1\ \IC33\-\N17\ \IC33\-\N19\ \C376\-\1\ \IC33\-\N28\ 
*  \IC33\-\P3\ \IC33\-\P4\ \C488\-\1\ \IC33\-\P12\ \IC33\-\P18\ \IC33\-\P22\ 
*  \IC33\-\P28\ \C388\-\1\ \IC33\-\P34\ \IC33\-\R1\ \IC33\-\R5\ \C526\-\2\ 
*  \IC33\-\R9\ \IC33\-\R11\ \IC33\-\R13\ \IC33\-\R19\ \C386\-\1\ \IC33\-\R31\ 
*  \IC33\-\T8\ \IC33\-\T10\ \IC33\-\T16\ \C156\-\1\ \C375\-\1\ \C401\-\1\ 
*  \C391\-\1\ \C406\-\1\ \C407\-\1\ \C163\-\1\ \C405\-\1\ \C499\-\1\ 
*  \C408\-\1\ \C158\-\1\ \C484\-\1\ \C390\-\1\ \C402\-\1\ \C398\-\1\ 
*  \C379\-\1\ \C469\-\1\ \J21\-\2\ \C475\-\1\ \C383\-\1\ \C389\-\1\ 
*  \C418\-\1\ \C366\-\1\ \C493\-\1\ \C371\-\1\ \C385\-\1\ \C378\-\1\ 
